DYNA>     2400      2.40000  -7835.56661   3499.48698 -11335.05359    301.72568
DYNA>     2440      2.44000  -7836.33989   3507.24370 -11343.58359    302.39447
DYNA>     2480      2.48000  -7836.40454   3564.11606 -11400.52061    307.29800
DYNA>     2520      2.52000  -7835.43625   3561.66421 -11397.10046    307.08660
DYNA>     2560      2.56000  -7834.22766   3560.45993 -11394.68759    306.98277
DYNA>     2600      2.60000  -7835.59876   3612.61650 -11448.21526    311.47971
DYNA>     2600      2.60000  -7899.02175   3549.19351 -11448.21526    306.01138
DYNA>     2640      2.64000  -7902.29794   3533.94450 -11436.24244    304.69661
DYNA>     2680      2.68000  -7901.54719   3476.53672 -11378.08391    299.74691
DYNA>     2720      2.72000  -7897.81978   3478.27237 -11376.09215    299.89656
DYNA>     2760      2.76000  -7897.86427   3434.99493 -11332.85919    296.16518
DYNA>     2800      2.80000  -7900.36724   3504.33373 -11404.70096    302.14357
DYNA>     2800      2.80000  -7870.79538   3533.90559 -11404.70096    304.69326
DYNA>     2840      2.84000  -7873.46025   3522.77168 -11396.23194    303.73329
DYNA>     2880      2.88000  -7873.60252   3493.74665 -11367.34917    301.23075
DYNA>     2920      2.92000  -7873.48484   3545.59758 -11419.08242    305.70134
DYNA>     2960      2.96000  -7870.73211   3485.74342 -11356.47554    300.54072
DYNA>     3000      3.00000  -7873.03186   3524.63355 -11397.66540    303.89382
DYNA>     3000      3.00000  -7816.30552   3581.35988 -11397.66540    308.78476
DYNA>     3040      3.04000  -7818.88760   3525.79961 -11344.68721    303.99436
DYNA>     3080      3.08000  -7815.99039   3483.19195 -11299.18233    300.32073
DYNA>     3120      3.12000  -7813.47428   3543.06666 -11356.54094    305.48312
DYNA>     3160      3.16000  -7813.74193   3525.88505 -11339.62698    304.00173
DYNA>     3200      3.20000  -7816.73065   3516.48651 -11333.21716    303.19138
DYNA>     3200      3.20000  -7832.95328   3500.26388 -11333.21716    301.79267
DYNA>     3240      3.24000  -7834.44528   3491.69411 -11326.13940    301.05378
DYNA>     3280      3.28000  -7835.08974   3564.77496 -11399.86470    307.35481
DYNA>     3320      3.32000  -7833.04206   3499.94935 -11332.99140    301.76555
DYNA>     3360      3.36000  -7832.90998   3518.66511 -11351.57508    303.37922
DYNA>     3400      3.40000  -7836.33554   3600.62713 -11436.96267    310.44599
DYNA>     3400      3.40000  -7816.91731   3620.04536 -11436.96267    312.12022
DYNA>     3440      3.44000  -7815.73225   3494.86922 -11310.60147    301.32754
DYNA>     3480      3.48000  -7812.17425   3484.52436 -11296.69861    300.43561
DYNA>     3520      3.52000  -7812.50512   3518.46022 -11330.96534    303.36156
DYNA>     3560      3.56000  -7814.58846   3519.77912 -11334.36758    303.47527
DYNA>     3600      3.60000  -7813.25832   3512.55344 -11325.81175    302.85227
DYNA>     3600      3.60000  -7849.06560   3476.74615 -11325.81175    299.76497
DYNA>     3640      3.64000  -7850.83861   3541.06010 -11391.89872    305.31012
DYNA>     3680      3.68000  -7853.32104   3593.06607 -11446.38711    309.79407
DYNA>     3720      3.72000  -7852.91699   3557.40567 -11410.32266    306.71943
