DYNA>     2960      2.96000 -15328.49004   2252.20028 -17580.69032    173.61500
DYNA>     2960      2.96000 -15165.22789   2415.46243 -17580.69032    186.20037
DYNA>     3040      3.04000 -15164.16340   2285.31821 -17449.48161    176.16796
DYNA>     3040      3.04000 -15005.27755   2444.20406 -17449.48161    188.41597
DYNA>     3120      3.12000 -15005.11526   2332.09968 -17337.21494    179.77419
DYNA>     3120      3.12000 -14834.85648   2502.35847 -17337.21494    192.89891
DYNA>     3200      3.20000 -14833.84709   2425.21950 -17259.06659    186.95251
DYNA>     3200      3.20000 -14652.61379   2606.45279 -17259.06659    200.92321
DYNA>     3280      3.28000 -14652.58766   2512.82407 -17165.41173    193.70567
DYNA>     3280      3.28000 -14527.49724   2637.91450 -17165.41173    203.34849
DYNA>     3360      3.36000 -14526.41117   2520.00777 -17046.41894    194.25944
DYNA>     3360      3.36000 -14365.67652   2680.74242 -17046.41894    206.64996
DYNA>     3440      3.44000 -14365.53670   2613.65890 -16979.19560    201.47871
DYNA>     3440      3.44000 -14191.12290   2788.07270 -16979.19560    214.92371
DYNA>     3520      3.52000 -14190.13012   2682.24027 -16872.37040    206.76543
DYNA>     3520      3.52000 -14040.80102   2831.56937 -16872.37040    218.27674
DYNA>     3600      3.60000 -14039.85319   2698.44532 -16738.29852    208.01462
DYNA>     3600      3.60000 -13859.54775   2878.75077 -16738.29852    221.91380
DYNA>     3680      3.68000 -13858.60948   2755.50569 -16614.11517    212.41323
DYNA>     3680      3.68000 -13695.97232   2918.14284 -16614.11517    224.95041
DYNA>     3760      3.76000 -13695.97485   2857.26767 -16553.24251    220.25774
DYNA>     3760      3.76000 -13516.81401   3036.42850 -16553.24251    234.06868
DYNA>     3840      3.84000 -13515.83022   2910.24750 -16426.07771    224.34178
DYNA>     3840      3.84000 -13333.62230   3092.45541 -16426.07771    238.38762
DYNA>     3920      3.92000 -13333.01510   2947.24819 -16280.26330    227.19405
DYNA>     3920      3.92000 -13134.12146   3146.14183 -16280.26330    242.52613
DYNA>     4000      4.00000 -13132.82133   3030.88285 -16163.70417    233.64118
DYNA>     4000      4.00000 -12960.31997   3203.38420 -16163.70417    246.93877
DYNA>     4080      4.08000 -12959.89043   3053.58525 -16013.47568    235.39124
DYNA>     4080      4.08000 -12779.51389   3233.96179 -16013.47568    249.29589
DYNA>     4160      4.16000 -12778.63211   3168.96296 -15947.59507    244.28534
DYNA>     4160      4.16000 -12601.83085   3345.76422 -15947.59507    257.91439
DYNA>     4240      4.24000 -12601.05738   3169.86025 -15770.91763    244.35451
DYNA>     4240      4.24000 -12408.02178   3362.89586 -15770.91763    259.23501
DYNA>     4320      4.32000 -12407.47081   3277.23572 -15684.70653    252.63175
DYNA>     4320      4.32000 -12211.31480   3473.39173 -15684.70653    267.75279
DYNA>     4400      4.40000 -12209.77386   3287.90537 -15497.67922    253.45423
DYNA>     4400      4.40000 -11989.66847   3508.01075 -15497.67922    270.42146
DYNA>     4480      4.48000 -11989.04361   3406.18563 -15395.22924    262.57209
DYNA>     4480      4.48000 -11796.26169   3598.96755 -15395.22924    277.43304
DYNA>     4560      4.56000 -11795.69926   3447.74058 -15243.43985    265.77543
DYNA>     4560      4.56000 -11621.97007   3621.46978 -15243.43985    279.16766
DYNA>     4640      4.64000 -11621.72969   3578.21403 -15199.94372    275.83321
DYNA>     4640      4.64000 -11411.09020   3788.85353 -15199.94372    292.07075
DYNA>     4720      4.72000 -11409.06851   3688.39684 -15097.46535    284.32686
DYNA>     4720      4.72000 -11258.56014   3838.90521 -15097.46535    295.92907
DYNA>     4800      4.80000 -11257.58719   3686.04597 -14943.63316    284.14564
DYNA>     4800      4.80000 -11115.56444   3828.06872 -14943.63316    295.09372
DYNA>     4880      4.88000 -11115.23268   3717.58727 -14832.81995    286.57705
DYNA>     4880      4.88000 -10958.28121   3874.53875 -14832.81995    298.67595
DYNA>     4960      4.96000 -10957.36230   3784.97442 -14742.33672    291.77172
DYNA>     5040      5.04000 -10958.30322   3786.43128 -14744.73450    291.88402
DYNA>     5120      5.12000 -10957.11403   3705.95837 -14663.07240    285.68062
DYNA>     5200      5.20000 -10957.19320   3739.62595 -14696.81915    288.27595
DYNA>     5280      5.28000 -10958.56194   3768.92869 -14727.49063    290.53480
DYNA>     5360      5.36000 -10958.51607   3739.06852 -14697.58459    288.23298
DYNA>     5440      5.44000 -10958.97431   3808.80467 -14767.77898    293.60872
DYNA>     5520      5.52000 -10958.98345   3769.82272 -14728.80617    290.60372
DYNA>     5600      5.60000 -10960.07951   3722.56387 -14682.64338    286.96069
DYNA>     5680      5.68000 -10957.00916   3692.71922 -14649.72838    284.66006
DYNA>     5760      5.76000 -10959.61937   3747.18255 -14706.80192    288.85846
DYNA>     5840      5.84000 -10957.31388   3695.23005 -14652.54393    284.85361
DYNA>     5920      5.92000 -10960.66898   3722.56307 -14683.23205    286.96062
DYNA>     6000      6.00000 -10960.72767   3759.22104 -14719.94872    289.78647
DYNA>     6080      6.08000 -10958.94975   3741.24645 -14700.19620    288.40087
DYNA>     6160      6.16000 -10958.62051   3722.51127 -14681.13178    286.95663
DYNA>     6240      6.24000 -10957.67937   3699.23633 -14656.91570    285.16244
DYNA>     6320      6.32000 -10959.89717   3772.37523 -14732.27240    290.80049
DYNA>     6400      6.40000 -10959.70247   3683.91105 -14643.61352    283.98106
DYNA>     6480      6.48000 -10960.42308   3661.86648 -14622.28956    282.28172
DYNA>     6560      6.56000 -10961.82247   3759.73629 -14721.55876    289.82619
DYNA>     6640      6.64000 -10958.96523   3686.38291 -14645.34814    284.17161
DYNA>     6720      6.72000 -10960.97799   3684.24829 -14645.22628    284.00706
DYNA>     6800      6.80000 -10959.12990   3666.12779 -14625.25769    282.61021
DYNA>     6880      6.88000 -10960.78054   3709.94539 -14670.72593    285.98797
DYNA>     6960      6.96000 -10961.69165   3717.25967 -14678.95133    286.55180
DYNA>     7040      7.04000 -10958.21108   3645.81529 -14604.02637    281.04438
DYNA>     7120      7.12000 -10961.41603   3708.20715 -14669.62318    285.85397
