0 22814.35962 5001.09194 -936.60911
10 283.03855 422.47909 -988.20399
20 -610.28235 -110.56748 -1020.40135
30 -685.00044 -131.20568 -1036.46900
40 -742.50682 -142.78918 -1049.29278
50 -765.12952 -149.68432 -1057.19196
60 -781.63864 -155.29547 -1064.59685
70 -794.01601 -159.64367 -1070.88985
80 -803.91500 -163.09254 -1076.36646
90 -812.48388 -166.06490 -1081.46665
100 -819.99909 -168.45799 -1085.93554
110 -826.21370 -170.51754 -1090.00024
120 -834.29278 -172.50070 -1094.65782
130 -839.61713 -174.03139 -1098.05764
140 -844.85174 -175.56813 -1101.78187
150 -849.23743 -176.93966 -1105.36402
160 -853.56788 -178.17237 -1108.68174
170 -857.46977 -179.20630 -1111.60064
180 -861.95203 -180.10871 -1114.05715
190 -864.55795 -181.08286 -1117.30477
200 -869.02132 -181.83209 -1119.51302
210 -872.10970 -182.55073 -1121.99276
220 -875.26225 -183.26259 -1124.53435
230 -878.37179 -183.91596 -1127.04863
240 -880.98738 -184.46812 -1129.29094
250 -883.79678 -185.00521 -1131.68832
260 -886.34080 -185.48415 -1133.89300
270 -889.01063 -185.92755 -1136.23283
280 -891.45450 -186.31979 -1138.44886
290 -893.93219 -186.75653 -1140.79489
300 -896.20612 -186.99571 -1142.96030
310 -899.40980 -187.59277 -1145.75051
320 -901.99997 -187.98404 -1148.53973
330 -904.34250 -188.15083 -1150.76511
340 -906.50539 -188.35006 -1153.27132
350 -908.73285 -188.38088 -1155.65292
360 -910.87239 -188.36640 -1158.28067
370 -912.99947 -188.18625 -1160.79492
380 -914.94278 -187.91255 -1163.30139
390 -916.80733 -187.52378 -1165.73837
400 -919.10997 -186.82651 -1167.67367
410 -920.75580 -186.45224 -1169.89050
420 -922.30214 -186.05704 -1171.98194
430 -923.94135 -185.56779 -1174.17893
440 -925.26893 -185.07117 -1176.03028
450 -926.56547 -184.66859 -1177.83997
460 -927.82442 -184.33500 -1179.47184
470 -928.92984 -184.08349 -1180.95919
